Name and Quantity, Price in Rs
Avarai (1 Kg), 25.00
Amla (1 Kg), 126.00
Baby corn (1 Kg), 79.00
Beans (1 Kg), 20.00
Beetroot (1 Kg), 06.00
Bittergourd (1 Kg), 10.00
Brinjal (1 Kg), 06.00
Brinjal - Big (1 Kg), 20.00
Brinjal - Green (1 Kg), 12.00
Butter Beans (1 Kg), 60.00
Cabbage (1 Kg), 04.00
Capscicum - Red (1 Kg, 149.00
Capscicum - Green (1 Kg), 22.00
Carrot (1 Kg), 13.00
Cauliflower (1 Piece), 15.00
Chow Chow (1 Kg), 39.00
Cluster Beans (1 Kg), 45.00
Coconut (Small) , 25.00
Coconut (Big) , 35.00
Cucumber (1 Kg), 29.00
Double Beans (1 Kg), 170.00
Drumstick (1 Kg), 15.00
Garlic - Big (Hills) (1 Kg), 120.00
Garlic - Small (Country) (1 Kg), 110.00
Ginger (1 Kg), 59.00
Green Peas (1 Kg), 60.00
Green Chilli (1 Kg), 07.00
Karunai Kizhangu (1 Kg), 49.00
Kovakkai (1 Kg), 25.00
Ladies Fingers (1 Kg), 15.00
Mango - Raw (1 Kg), 85.00
Maravalli Kizhangu (1 Kg), 39.00
Noolkol (1 Kg), 25.00
Onion - Big (1 Kg), 13.00
Onion - Small (1 Kg) , 25.00
Onion - White (1 Kg), 161.00
Peerkankkai (1 Kg) , 39.00
Potato (1 Kg), 16.00
Potatoes - Baby (1 Kg), 59.00
Radish (1 Kg), 08.00
Senaikizhangu (1 Kg), 30.00
Seppankizhangu (1 Kg), 35.00
Snake Gourd (1 Kg), 06.00
Bottle Guard (1 Kg) , 05.00
Tomato - Bangalore (1 Kg), 15.00
Tomato - Local (1 Kg), 10.00
Vazhai Poo (1 Piece), 20.00
Vazhai Thandu (1 Piece), 15.00
Yellow Pumpkin (1 Kg), 05.00
